ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-09-25T12:26:38Z,windows,228000,IN,223.233.72.193,Ye Pyar Nahi To Kya Hai,Rahul Jain,Ye Pyar Nahi To Kya Hai,spotify:track:0MNgTp3FLtbPiCvrG8lsru,,,,,,,,playbtn,trackdone,False,False,False,1695644471,False
2023-09-25T12:27:19Z,windows,8202,IN,223.233.72.193,Chhupana Bhi Nahin Aata - Reprised Version,Rahul Jain,Chhupana Bhi Nahin Aata,spotify:track:73XW0bcRIQt0C1xzSeRV8z,,,,,,,,trackdone,endplay,False,True,False,1695644729,False
2023-09-25T12:31:06Z,windows,228000,IN,223.233.72.193,Ye Pyar Nahi To Kya Hai,Rahul Jain,Ye Pyar Nahi To Kya Hai,spotify:track:0MNgTp3FLtbPiCvrG8lsru,,,,,,,,playbtn,endplay,False,True,False,1695644739,False
2023-09-25T12:33:51Z,windows,163510,IN,223.233.72.193,Chhupana Bhi Nahin Aata - Reprised Version,Rahul Jain,Chhupana Bhi Nahin Aata,spotify:track:73XW0bcRIQt0C1xzSeRV8z,,,,,,,,trackdone,trackdone,False,False,False,1695644967,False
2023-09-25T12:34:58Z,windows,67105,IN,223.233.72.193,Tere Sath Mein,Ajit Kale,Tere Sath Mein,spotify:track:0xtPojtH8EAgLOP7J6vTV1,,,,,,,,trackdone,trackdone,False,False,False,1695645131,False
2023-09-25T12:35:59Z,windows,60422,IN,223.233.72.193,Sohnea (Duet),Shaurya Jha,Sohnea (Duet),spotify:track:7eReCtyrytVeKk0RNyxuw8,,,,,,,,trackdone,trackdone,False,False,False,1695645199,False
2023-09-25T12:36:58Z,windows,57891,IN,223.233.72.193,Halki Si Barsaat,Saaj Bhatt,Halki Si Barsaat,spotify:track:0YxzH0SUc10Vw4yLFqU06I,,,,,,,,trackdone,endplay,False,True,False,1695645260,False
2023-09-25T12:49:48Z,windows,247160,IN,223.233.72.193,Khuda Aur Mohabbat (Original Score),Rahat Fateh Ali Khan,Khuda Aur Mohabbat (Original Score),spotify:track:7r0vc8YhfpwvAwUR4oqqXe,,,,,,,,playbtn,endplay,False,True,False,1695645319,False
2023-09-25T12:49:56Z,windows,6970,IN,223.233.72.193,Baarishein,Anuv Jain,Baarishein,spotify:track:5iCY0TXNImK4hyKfcplQsg,,,,,,,,playbtn,endplay,False,True,False,1695646090,False
2023-09-25T13:03:40Z,windows,343906,IN,223.233.72.193,Saiyyan,Kailash Kher,Jhoomo Re,spotify:track:2vR23BjIzpLMtzsyKrM6Mb,,,,,,,,playbtn,endplay,False,True,False,1695646097,False
2023-09-25T13:05:58Z,windows,61183,IN,223.233.72.193,Maan Meri Jaan,King,Champagne Talk,spotify:track:1418IuVKQPTYqt7QNJ9RXN,,,,,,,,trackdone,backbtn,False,True,False,1695646921,False
2023-09-25T13:12:12Z,windows,343906,IN,223.233.72.193,Saiyyan,Kailash Kher,Jhoomo Re,spotify:track:2vR23BjIzpLMtzsyKrM6Mb,,,,,,,,backbtn,trackdone,False,False,False,1695647088,False
2023-09-25T13:15:27Z,windows,194653,IN,223.233.72.193,Maan Meri Jaan,King,Champagne Talk,spotify:track:1418IuVKQPTYqt7QNJ9RXN,,,,,,,,trackdone,trackdone,False,False,False,1695647432,False
2023-09-25T13:17:05Z,windows,77252,IN,223.233.72.193,Kali Kali Zulfon Ke (Lo-Fi),Madhur Sharma,Kali Kali Zulfon Ke (Lo-Fi),spotify:track:3mUkVsovIuscQlSoMhmAZt,,,,,,,,trackdone,trackdone,False,False,False,1695647648,False
2023-09-25T13:19:58Z,windows,172408,IN,223.233.72.193,Samjho Na,Aditya Rikhari,Samjho Na,spotify:track:1d5lpW3gUyq537iuyrb9Lf,,,,,,,,trackdone,trackdone,False,False,False,1695647726,False
2023-09-25T13:21:42Z,windows,103264,IN,223.233.72.193,Chaand Baaliyan,Aditya A,Chaand Baaliyan,spotify:track:0snQrp1VaY5Pj1YIHRJpRJ,,,,,,,,trackdone,trackdone,False,False,False,1695647899,False
2023-09-25T15:40:11Z,windows,185392,IN,223.233.72.193,Jab Koi Baat - Recreated,Atif Aslam,Jab Koi Baat - Recreated,spotify:track:43GfQ1SC17rBWiHkOtdwK8,,,,,,,,trackdone,remote,False,False,False,1695648003,False
2023-09-25T15:40:25Z,android,20078,IN,223.233.72.193,Power,Little Mix,Glory Days,spotify:track:0lUSd7TCG8srh6HpIAEIWL,,,,,,,,appload,endplay,False,True,False,1695656407,False
2023-09-25T15:44:12Z,android,228000,IN,223.233.72.193,Ye Pyar Nahi To Kya Hai,Rahul Jain,Ye Pyar Nahi To Kya Hai,spotify:track:0MNgTp3FLtbPiCvrG8lsru,,,,,,,,clickrow,endplay,False,True,False,1695656428,False
2023-09-25T15:44:14Z,android,745,IN,223.233.72.193,Tere Sath Mein,Ajit Kale,Tere Sath Mein,spotify:track:0xtPojtH8EAgLOP7J6vTV1,,,,,,,,trackdone,endplay,False,True,False,1695656656,False
2023-09-25T15:48:02Z,android,228000,IN,223.233.72.193,Ye Pyar Nahi To Kya Hai,Rahul Jain,Ye Pyar Nahi To Kya Hai,spotify:track:0MNgTp3FLtbPiCvrG8lsru,,,,,,,,clickrow,endplay,False,True,False,1695656657,False
2023-09-25T15:48:39Z,android,34220,IN,223.233.72.193,Chhupana Bhi Nahin Aata - Reprised Version,Rahul Jain,Chhupana Bhi Nahin Aata,spotify:track:73XW0bcRIQt0C1xzSeRV8z,,,,,,,,trackdone,endplay,False,True,False,1695656885,False
2023-09-25T15:51:13Z,android,154786,IN,223.233.72.193,Wasabi,Little Mix,LM5 (Deluxe),spotify:track:7IOuCLt770D8v0u3SVaDeI,,,,,,,,clickrow,endplay,False,True,False,1695656922,False
2023-09-25T15:51:28Z,android,13999,IN,223.233.72.193,How You Like That,BLACKPINK,THE ALBUM,spotify:track:6bvZRLLkBKkmgpBJTTj3QK,,,,,,,,trackdone,endplay,False,True,False,1695657076,False
2023-09-25T15:56:57Z,android,328421,IN,223.233.72.193,WOH,Ikka,WOH,spotify:track:1QUU43rTDMnGl4xyaIfsYN,,,,,,,,clickrow,endplay,False,True,False,1695657092,False
2023-09-25T15:57:09Z,android,9924,IN,223.233.72.193,Kali Kali Zulfon Ke (Lo-Fi),Madhur Sharma,Kali Kali Zulfon Ke (Lo-Fi),spotify:track:3mUkVsovIuscQlSoMhmAZt,,,,,,,,trackdone,endplay,False,True,False,1695657421,False
2023-09-25T15:59:22Z,android,133305,IN,223.233.72.193,Iraaday,Rovalio,Iraaday,spotify:track:6qrifdo7QINdPQr80IelGi,,,,,,,,clickrow,endplay,False,True,False,1695657432,False
2023-09-25T16:02:45Z,android,173637,IN,223.233.72.193,Kahani Suno 2.0,Kaifi Khalil,Kahani Suno 2.0,spotify:track:4VsP4Dm8gsibRxB5I2hEkw,,,,,,,,trackdone,trackdone,False,False,False,1695657565,False
2023-09-25T16:04:04Z,android,77252,IN,223.233.72.193,Kali Kali Zulfon Ke (Lo-Fi),Madhur Sharma,Kali Kali Zulfon Ke (Lo-Fi),spotify:track:3mUkVsovIuscQlSoMhmAZt,,,,,,,,trackdone,trackdone,False,False,False,1695657769,False
2023-09-25T16:04:11Z,android,5757,IN,223.233.72.193,Kyun Dhunde - 1 Min Music,Vilen,Kyun Dhunde,spotify:track:0WUUFBKX2vlagsbYm3KUG2,,,,,,,,trackdone,fwdbtn,False,True,False,1695657846,False
2023-09-25T16:04:15Z,android,3654,IN,223.233.72.193,Maan Meri Jaan,King,Champagne Talk,spotify:track:1418IuVKQPTYqt7QNJ9RXN,,,,,,,,fwdbtn,endplay,False,True,False,1695657853,False
2023-09-25T16:07:27Z,android,192441,IN,223.233.72.193,Stay With Me,CHANYEOL,"Guardian (Original Television Soundtrack), Pt. 1",spotify:track:1HYzRuWjmS9LXCkdVHi25K,,,,,,,,clickrow,endplay,False,True,False,1695657857,False
2023-09-25T16:08:35Z,android,66243,IN,223.233.72.193,For You,CHEN,"Moonlovers - Scarlet Heart Ryeo (Original Television Soundtrack), Pt. 1",spotify:track:7rLvsAO1yb7ElxPhkz60qh,,,,,,,,trackdone,fwdbtn,False,True,False,1695658050,False
2023-09-25T16:08:36Z,android,1875,IN,223.233.72.193,Another Day,Monday Kiz,Hotel del Luna (Original Television Soundtrack) Pt.1,spotify:track:19iGKpMex6pNeb52jQhyio,,,,,,,,fwdbtn,fwdbtn,False,True,False,1695658117,False
2023-09-25T16:13:59Z,android,82040,IN,223.233.72.193,Say Yes,Loco,"Moonlovers - Scarlet Heart Ryeo (Original Television Soundtrack), Pt. 2",spotify:track:27zrFrtUtWl2urlvjOn5xc,,,,,,,,fwdbtn,logout,False,False,False,1695658119,False
2023-09-25T17:29:16Z,android,40020,IN,223.233.72.193,Say Yes,Loco,"Moonlovers - Scarlet Heart Ryeo (Original Television Soundtrack), Pt. 2",spotify:track:27zrFrtUtWl2urlvjOn5xc,,,,,,,,appload,endplay,False,True,False,1695662902,False
2023-09-25T17:40:03Z,android,161041,IN,223.233.72.193,Malang Sajna,Sachet Tandon,Malang Sajna,spotify:track:73K33p4Vyz9koXGqmL5eFs,,,,,,,,playbtn,endplay,False,True,False,1695662959,False
2023-09-26T13:56:53Z,windows,346904,IN,223.233.72.193,Soch,Harrdy Sandhu,Soch,spotify:track:5ACG6R1PbFnP7WHZNVDHAi,,,,,,,,playbtn,endplay,False,True,False,1695736166,False
2023-09-26T16:18:26Z,android,161041,IN,223.233.72.193,Malang Sajna,Sachet Tandon,Malang Sajna,spotify:track:73K33p4Vyz9koXGqmL5eFs,,,,,,,,appload,trackdone,False,False,False,1695744945,False
2023-09-26T16:22:30Z,android,228000,IN,223.233.72.193,Ye Pyar Nahi To Kya Hai,Rahul Jain,Ye Pyar Nahi To Kya Hai,spotify:track:0MNgTp3FLtbPiCvrG8lsru,,,,,,,,clickrow,endplay,False,True,False,1695745123,False
2023-09-26T16:22:38Z,android,6700,IN,223.233.72.193,Tere Sath Mein,Ajit Kale,Tere Sath Mein,spotify:track:0xtPojtH8EAgLOP7J6vTV1,,,,,,,,trackdone,backbtn,False,True,False,1695745352,False
2023-09-26T16:26:26Z,android,228000,IN,223.233.72.193,Ye Pyar Nahi To Kya Hai,Rahul Jain,Ye Pyar Nahi To Kya Hai,spotify:track:0MNgTp3FLtbPiCvrG8lsru,,,,,,,,backbtn,trackdone,False,False,False,1695745359,False
2023-09-26T16:26:40Z,android,12686,IN,223.233.72.193,Tere Sath Mein,Ajit Kale,Tere Sath Mein,spotify:track:0xtPojtH8EAgLOP7J6vTV1,,,,,,,,trackdone,endplay,False,True,False,1695745587,False
2023-09-26T16:28:53Z,android,133305,IN,223.233.72.193,Iraaday,Rovalio,Iraaday,spotify:track:6qrifdo7QINdPQr80IelGi,,,,,,,,clickrow,endplay,False,True,False,1695745601,False
2023-09-26T16:34:24Z,android,330078,IN,223.233.72.193,Kahani Suno 2.0,Kaifi Khalil,Kahani Suno 2.0,spotify:track:4VsP4Dm8gsibRxB5I2hEkw,,,,,,,,trackdone,trackdone,False,False,False,1695745735,False
2023-09-26T16:34:32Z,android,6942,IN,223.233.72.193,Kali Kali Zulfon Ke (Lo-Fi),Madhur Sharma,Kali Kali Zulfon Ke (Lo-Fi),spotify:track:3mUkVsovIuscQlSoMhmAZt,,,,,,,,trackdone,logout,False,False,False,1695746064,False
2023-09-26T17:20:45Z,android,3796,IN,223.233.72.193,Kali Kali Zulfon Ke (Lo-Fi),Madhur Sharma,Kali Kali Zulfon Ke (Lo-Fi),spotify:track:3mUkVsovIuscQlSoMhmAZt,,,,,,,,appload,fwdbtn,False,True,False,1695748841,False
2023-09-26T17:23:59Z,android,194653,IN,223.233.72.193,Maan Meri Jaan,King,Champagne Talk,spotify:track:1418IuVKQPTYqt7QNJ9RXN,,,,,,,,fwdbtn,trackdone,False,False,False,1695748846,False
2023-09-26T17:24:25Z,android,25493,IN,223.233.72.193,9:45,Prabh Singh,9:45,spotify:track:6c4Po8zyQjB4cR5XgLhcGb,,,,,,,,trackdone,fwdbtn,False,True,False,1695749040,False
2023-09-26T17:24:27Z,android,434,IN,223.233.72.193,Kho Gaye,Taaruk Raina,Mismatched: Season 2 (Soundtrack from the Netflix Series),spotify:track:2QophXhN2Ls2URfoPmiviC,,,,,,,,fwdbtn,fwdbtn,False,True,False,1695749066,False
2023-09-26T17:24:28Z,android,774,IN,223.233.72.193,With You,AP Dhillon,With You,spotify:track:0xIuPDzJSnJywALez8dwKR,,,,,,,,fwdbtn,fwdbtn,False,True,False,1695749068,False
2023-09-26T17:24:28Z,android,23,IN,223.233.72.193,Mere Humsafar (Original Score) [Female Version],Yashal Shahid,Mere Humsafar (Original Score) [Female Version],spotify:track:4BoFJMLSO3ZoD48KgnslSe,,,,,,,,fwdbtn,fwdbtn,False,True,False,1695749067,False
2023-09-26T17:24:30Z,android,1016,IN,223.233.72.193,Bye,Aditya Bhardwaj,Bye,spotify:track:0PGU5mcLncBYE8yuVpSwqA,,,,,,,,fwdbtn,fwdbtn,False,True,False,1695749070,False
2023-09-26T17:24:30Z,android,690,IN,223.233.72.193,Chaand Baaliyan,Aditya A,Chaand Baaliyan,spotify:track:0snQrp1VaY5Pj1YIHRJpRJ,,,,,,,,fwdbtn,fwdbtn,False,True,False,1695749069,False
2023-09-26T17:24:31Z,android,1145,IN,223.233.72.193,Jaadugar,Paradox,Mtv Hustle 2.0,spotify:track:4ujToRFWb3C8tdPkmVPwu2,,,,,,,,fwdbtn,fwdbtn,False,True,False,1695749071,False
2023-09-26T17:24:36Z,android,3993,IN,223.233.72.193,Faasle,Aditya Rikhari,Faasle,spotify:track:0s76ExpXyMGVBlKLUr683e,,,,,,,,fwdbtn,endplay,False,True,False,1695749072,False
2023-09-26T17:28:23Z,android,228000,IN,223.233.72.193,Ye Pyar Nahi To Kya Hai,Rahul Jain,Ye Pyar Nahi To Kya Hai,spotify:track:0MNgTp3FLtbPiCvrG8lsru,,,,,,,,clickrow,endplay,False,True,False,1695749076,False
2023-09-26T17:32:25Z,android,207339,IN,223.233.72.193,Dil Deewana,Sagar Kalra,Dil Deewana,spotify:track:6toZIttVTq28b6YprzBeYA,,,,,,,,trackdone,trackdone,False,False,False,1695749304,False
2023-09-26T17:35:17Z,android,172772,IN,223.233.72.193,Jab Koi Baat - Recreated Version,Rahul Jain,Jab Koi Baat,spotify:track:4QNK4GgqikgbAX4jthAwAZ,,,,,,,,trackdone,trackdone,False,False,False,1695749545,False
2023-09-26T17:36:25Z,android,67105,IN,223.233.72.193,Tere Sath Mein,Ajit Kale,Tere Sath Mein,spotify:track:0xtPojtH8EAgLOP7J6vTV1,,,,,,,,trackdone,trackdone,False,False,False,1695749719,False
